id,k,alpha,time,acc,score
1,1683,290,0.0073039758166667445,0.65,0.13
2,1682,289,0.006643872366667362,0.66,0.132
3,1682,291,0.006846428933332997,0.65,0.13
4,1684,289,0.005652133250000209,0.66,0.132
5,1684,291,0.005688703433333823,0.66,0.132
6,1683,292,0.007236464266666568,0.67,0.134
7,1685,290,0.005987884066666993,0.66,0.132
8,1685,292,0.006160555866667513,0.67,0.134
9,1684,293,0.007309684200000295,0.65,0.13
10,1686,291,0.0057145927000002905,0.66,0.132
11,1686,293,0.005989822950000227,0.66,0.132
