id,k,alpha,time,acc,score
1,1716,270,0.007142161416665734,0.64,0.128
2,1715,269,0.007063843900001151,0.63,0.126
3,1715,271,0.007277734883333172,0.65,0.13
4,1717,269,0.005568601866665783,0.63,0.126
5,1717,271,0.005876925250000416,0.64,0.128
6,1714,270,0.005804224316665341,0.64,0.128
7,1714,272,0.006895107200000439,0.66,0.132
8,1716,272,0.0053022345166671885,0.64,0.128
9,1713,271,0.005518065783333744,0.64,0.128
10,1713,273,0.007392429283332073,0.63,0.126
11,1715,273,0.00546732946666566,0.64,0.128
