id,k,alpha,time,acc,score
1,1675,500,0.01350780836666748,0.63,0.126
2,1665,490,0.012803579216666586,0.64,0.128
3,1665,510,0.014053795966665917,0.65,0.13
4,1685,490,0.011324759466666971,0.64,0.128
5,1685,510,0.011441147950000641,0.64,0.128
6,1655,500,0.010777418249999945,0.64,0.128
7,1655,520,0.014256446366666372,0.66,0.132
8,1675,520,0.01279269098333297,0.64,0.128
9,1645,510,0.011974226549999875,0.65,0.13
10,1645,530,0.014604392816666707,0.64,0.128
11,1665,530,0.011849438216666877,0.64,0.128
