id,k,alpha,time,acc,score
1,1775,700,0.020919875249999602,0.61,0.122
2,1765,690,0.021845785249998546,0.6,0.12
3,1765,710,0.021922257333333542,0.62,0.124
4,1785,690,0.015940047916666346,0.62,0.124
5,1785,710,0.017242657016665438,0.62,0.124
6,1775,720,0.02201815110000022,0.62,0.124
7,1795,700,0.015725293283333032,0.62,0.124
8,1795,720,0.017969400383333323,0.63,0.126
9,1785,730,0.021553906516667592,0.63,0.126
10,1805,710,0.01673462068333341,0.62,0.124
11,1805,730,0.01879961241666782,0.62,0.124
