id,k,alpha,time,acc,score
1,500,40,1.5773760896666666,0.54,0.10800000000000001
2,480,38,1.4019379377333334,0.55,0.11000000000000001
3,480,42,1.7242741921999993,0.55,0.11000000000000001
4,520,38,0.00041980576666655146,0.52,0.10400000000000001
5,520,42,0.00044956498333306174,0.55,0.11000000000000001
6,500,44,1.9209100808833333,0.55,0.11000000000000001
7,540,40,0.000436525783333271,0.55,0.11000000000000001
8,540,44,0.0004620292666667562,0.56,0.11200000000000002
9,520,46,1.8351514848166668,0.55,0.11000000000000001
10,560,42,0.0004613460166657054,0.55,0.11000000000000001
11,560,46,0.00048230860000065455,0.56,0.11200000000000002
