id,k,alpha,time,acc,score
1,100,30,0.0008285968500009251,0.49,0.098
2,80,28,0.00047630890000126177,0.49,0.098
3,80,32,0.0007454864666669892,0.47,0.094
4,120,28,0.00039225508333326313,0.5,0.1
5,120,32,0.0003939613500013669,0.5,0.1
6,100,34,0.0007427895500010588,0.53,0.10600000000000001
7,140,30,0.0007335815666673777,0.55,0.11000000000000001
8,140,34,0.00043913865000035914,0.53,0.10600000000000001
9,160,28,0.0004002502666670201,0.52,0.10400000000000001
10,160,32,0.0008174687999996877,0.49,0.098
