id,k,alpha,time,acc,score
1,600,80,0.0016157098000007864,0.58,0.11599999999999999
2,580,78,0.0017287506500016055,0.59,0.118
3,580,82,0.0020031116333332952,0.61,0.122
4,620,78,0.0010878666500010088,0.6,0.12
5,620,82,0.0011161641500014715,0.61,0.122
6,600,84,0.002075796999999587,0.6,0.12
7,640,80,0.001208215733331978,0.61,0.122
8,640,84,0.0012401929666680188,0.62,0.124
9,620,86,0.0019199372000002768,0.61,0.122
10,660,82,0.0015698502666680269,0.6,0.12
11,660,86,0.0013848644833349985,0.6,0.12
