id,k,alpha,time,acc,score
1,100,100,0.0786372465999951,0.6645418326693228,0.13290836653386456
2,94,75,0.06180241694999798,0.6653386454183267,0.13306772908366532
3,94,125,0.0949103057166667,0.6704382470119522,0.13408764940239043
4,106,75,0.061572749516669016,0.6686852589641434,0.1337370517928287
5,106,125,0.09404009033334357,0.6696414342629482,0.13392828685258965
6,88,100,0.07694844871666646,0.6632669322709164,0.1326533864541833
7,88,150,0.11761375996666175,0.6686852589641434,0.1337370517928287
8,100,150,0.11742181698332388,0.6680478087649402,0.13360956175298805
