id,k,alpha,time,acc,score
1,100,250,0.25654795899999955,0.6669322709163347,0.13338645418326694
2,94,225,0.21264296906667066,0.6690039840637451,0.133800796812749
3,94,275,0.2885230632833251,0.6672509960159363,0.13345019920318726
4,106,225,0.21546772998332622,0.6675697211155378,0.13351394422310756
5,106,275,0.2896834148833477,0.6645418326693228,0.13290836653386456
6,88,200,0.16682861790000061,0.6715537848605577,0.13431075697211153
7,88,250,0.2551870362000045,0.6680478087649402,0.13360956175298805
8,100,200,0.16497678079999786,0.6693227091633466,0.13386454183266933
9,82,175,0.13474960374999986,0.6693227091633466,0.13386454183266933
10,82,225,0.21157510076667072,0.6647011952191235,0.1329402390438247
11,94,175,0.1373835791166736,0.671394422310757,0.1342788844621514
