id,k,alpha,time,acc,score
1,100,50,0.14665227515,0.41,0.08199999999999999
2,80,48,0.15267106516666668,0.48,0.096
3,80,52,0.16250032330000005,0.49,0.098
4,120,48,0.000780042799999947,0.46,0.092
5,120,52,0.0008467178833332885,0.45,0.09
6,60,50,0.0007928315833333718,0.48,0.096
7,60,54,0.16624712839999997,0.52,0.10400000000000001
8,100,54,0.0008693232499999463,0.48,0.096
9,40,52,0.0008181068333333504,0.5,0.1
10,40,56,0.17615365066666666,0.51,0.10200000000000001
11,80,56,0.0008633460333334379,0.49,0.098
