id,k,alpha,time,acc,score
1,800,30,0.12340737143333332,0.45,0.09
2,780,28,0.13590263288333335,0.41,0.08199999999999999
3,780,32,0.13631582269999995,0.48,0.096
4,820,28,0.0007185826333333385,0.41,0.08199999999999999
5,820,32,0.0007963685333333359,0.47,0.094
6,760,30,0.0007535254666667157,0.44,0.088
7,760,34,0.14287092501666662,0.49,0.098
8,800,34,0.0008257790666667356,0.47,0.094
9,740,32,0.0007711035166667083,0.46,0.092
10,740,36,0.15032102533333333,0.47,0.094
11,780,36,0.0008327780500000159,0.46,0.092
