id,k,alpha,time,acc,score
1,400,80,0.18258796198333332,0.55,0.11000000000000001
2,380,78,0.18311636753333335,0.57,0.11399999999999999
3,380,82,0.1816148668166667,0.58,0.11599999999999999
4,420,78,0.0011579639999999595,0.54,0.10800000000000001
5,420,82,0.0012055681833333645,0.55,0.11000000000000001
6,360,80,0.0011803973499999879,0.6,0.12
7,360,84,0.18950029126666668,0.6,0.12
8,400,84,0.0012189208333333332,0.6,0.12
9,380,86,0.1860854611666666,0.56,0.11200000000000002
10,420,86,0.001245196483333307,0.59,0.118
