id,k,alpha,time,acc,score
1,1000,50,0.14099403586666667,0.58,0.11599999999999999
2,980,48,0.1428345653333333,0.57,0.11399999999999999
3,980,52,0.15286381673333338,0.59,0.118
4,1020,48,0.001010989416666656,0.58,0.11599999999999999
5,1020,52,0.0010449495333332947,0.59,0.118
6,1000,54,0.16190082569999997,0.6,0.12
7,1040,50,0.0010274013000000082,0.58,0.11599999999999999
8,1040,54,0.0010596593833334111,0.59,0.118
9,980,56,0.16685265163333335,0.6,0.12
10,1020,56,0.001066130166666568,0.6,0.12
