id,k,alpha,time,acc,score
1,1200,700,0.021962068183334318,0.57,0.11399999999999999
2,1190,690,0.02124274645000052,0.55,0.11000000000000001
3,1190,710,0.020963406699998664,0.55,0.11000000000000001
4,1210,690,0.017542926549998582,0.58,0.11599999999999999
5,1210,710,0.0167155565166676,0.56,0.11200000000000002
6,1200,680,0.018648738450000715,0.56,0.11200000000000002
7,1220,680,0.014499855900000587,0.58,0.11599999999999999
8,1220,700,0.017318184516667164,0.59,0.118
9,1230,690,0.01671695868333245,0.57,0.11399999999999999
10,1230,710,0.01638175801666648,0.57,0.11399999999999999
