id,k,alpha,time,acc,score
1,1100,700,0.020535853083333677,0.57,0.11399999999999999
2,1090,690,0.020265875816666796,0.57,0.11399999999999999
3,1090,710,0.020924423916666986,0.59,0.118
4,1110,690,0.015395283066665873,0.55,0.11000000000000001
5,1110,710,0.01738259601666717,0.57,0.11399999999999999
6,1080,700,0.0162990911833333,0.6,0.12
7,1080,720,0.022406247716668305,0.59,0.118
8,1100,720,0.017003423133331808,0.57,0.11399999999999999
9,1070,690,0.016659735816665487,0.59,0.118
10,1070,710,0.017000625983333368,0.58,0.11599999999999999
