id,k,alpha,time,acc,score
1,300,800,0.023006387800000045,0.54,0.10800000000000001
2,290,790,0.022942892716666562,0.57,0.11399999999999999
3,290,810,0.02326627798333334,0.56,0.11200000000000002
4,310,790,0.018678221416666457,0.56,0.11200000000000002
5,310,810,0.017252941233333274,0.55,0.11000000000000001
6,280,780,0.022018844583333436,0.57,0.11399999999999999
7,280,800,0.019445337666666753,0.58,0.11599999999999999
8,300,780,0.017517955016666538,0.56,0.11200000000000002
9,270,790,0.019044506483333615,0.56,0.11200000000000002
10,270,810,0.01895202254999996,0.56,0.11200000000000002
