id,k,alpha,time,acc,score
1,1300,600,0.9182313170499886,0.6374501992031872,0.12749003984063745
2,1290,590,0.8891359341165904,0.6372908366533865,0.1274581673306773
3,1290,610,0.9366605441333377,0.6349003984063745,0.1269800796812749
4,1310,590,0.8944284946335149,0.6377689243027889,0.12755378486055777
5,1310,610,0.9276285717501499,0.6349003984063745,0.1269800796812749
6,1300,580,0.8636008526334383,0.637609561752988,0.1275219123505976
7,1320,580,0.8712638280667306,0.638406374501992,0.1276812749003984
8,1320,600,0.9111121867334684,0.6366533864541832,0.12733067729083664
9,1310,570,0.8477461202831668,0.6366533864541832,0.12733067729083664
10,1330,570,0.8324354670497996,0.64,0.128
11,1330,590,0.8930416965333279,0.6372908366533865,0.1274581673306773
12,1320,560,0.8425506476831894,0.6406374501992032,0.12812749003984064
13,1340,560,0.8361090363000888,0.6393625498007968,0.12787250996015936
14,1340,580,0.8616208556501078,0.6396812749003984,0.12793625498007968
15,1310,550,0.8283943225168817,0.6406374501992032,0.12812749003984064
16,1330,550,0.8220780441001504,0.6415936254980079,0.12831872509960157
17,1320,540,0.7897311420500046,0.6427091633466135,0.1285418326693227
18,1340,540,0.7906021416999768,0.6423904382470119,0.12847808764940238
19,1310,530,0.7809731645499899,0.6422310756972112,0.12844621513944224
20,1330,530,0.7839696302832938,0.6428685258964143,0.12857370517928285
21,1320,520,0.7725041580333103,0.6417529880478088,0.12835059760956175
22,1340,520,0.7688570969335463,0.6423904382470119,0.12847808764940238
