id,k,alpha,time,acc,score
1,1700,900,1.478588066333517,0.6495617529880479,0.12991235059760958
2,1690,890,1.441899715150066,0.6484462151394422,0.12968924302788845
3,1690,910,1.4650988243166163,0.6497211155378486,0.12994422310756973
4,1710,890,1.4364575627832286,0.6487649402390439,0.12975298804780877
5,1710,910,1.4533353980667016,0.6490836653386454,0.12981673306772906
6,1680,900,1.4612551863499297,0.649402390438247,0.1298804780876494
7,1680,920,1.5051852177498708,0.648605577689243,0.1297211155378486
8,1700,920,1.4995234495998981,0.6487649402390439,0.12975298804780877
