id,k,alpha,time,acc,score
1,1700,1100,1.8503110499999214,0.6487649402390439,0.12975298804780877
2,1690,1090,1.833583397350109,0.6492430278884462,0.12984860557768924
3,1690,1110,1.8499680460665937,0.6474900398406375,0.1294980079681275
4,1710,1090,1.817341394416629,0.6508366533864541,0.13016733067729083
5,1710,1110,1.8528403640331816,0.6498804780876494,0.12997609561752987
6,1700,1080,1.779258173333316,0.6474900398406375,0.1294980079681275
7,1720,1080,1.7703880161667864,0.6508366533864541,0.13016733067729083
8,1720,1100,1.831760711616759,0.6522709163346614,0.13045418326693228
9,1730,1090,1.8063480715667537,0.6511553784860558,0.13023107569721115
10,1730,1110,1.811958325633168,0.6503585657370518,0.13007171314741034
