id,k,alpha,time,acc,score
1,600,900,1.4458662130166582,0.6162549800796813,0.12325099601593625
2,590,890,1.4367735322165875,0.6176892430278884,0.12353784860557768
3,590,910,1.4614337872499163,0.6168924302788844,0.12337848605577688
4,610,890,1.4378984737665936,0.618804780876494,0.12376095617529881
5,610,910,1.447042039266671,0.6186454183266932,0.12372908366533864
6,600,880,1.4093282338999416,0.6165737051792829,0.12331474103585657
7,620,880,1.3953821379833244,0.6194422310756972,0.12388844621513943
8,620,900,1.432403378500021,0.6181673306772908,0.12363346613545816
9,610,870,1.3619914006333904,0.6186454183266932,0.12372908366533864
10,630,870,1.3583197326166556,0.6186454183266932,0.12372908366533864
11,630,890,1.4360756165665711,0.6192828685258964,0.12385657370517929
