id,k,alpha,time,acc,score
1,700,500,0.7017878588833507,0.6269322709163346,0.12538645418326694
2,690,490,0.6848959561166945,0.629003984063745,0.125800796812749
3,690,510,0.744081895516744,0.6259760956175299,0.12519521912350598
4,710,490,0.679956311333323,0.6280478087649403,0.12560956175298804
5,710,510,0.7457664574999702,0.6266135458167331,0.12532270916334662
6,680,480,0.6784779179998925,0.6286852589641434,0.12573705179282868
7,680,500,0.6955532643666326,0.628207171314741,0.12564143426294822
8,700,480,0.6839715776165879,0.6296414342629482,0.12592828685258964
9,690,470,0.6618413797667018,0.6288446215139443,0.12576892430278885
10,710,470,0.6619262031332861,0.6296414342629482,0.12592828685258964
