id,k,alpha,time,acc,score
1,1500,1100,1.850038683849804,0.6406374501992032,0.12812749003984064
2,1490,1090,1.8452663374666978,0.6435059760956175,0.12870119521912352
3,1490,1110,1.8722862433166787,0.640796812749004,0.12815936254980081
4,1510,1090,1.8382417830000728,0.6430278884462152,0.12860557768924302
5,1510,1110,1.8549904891333426,0.6409561752988048,0.12819123505976096
6,1480,1080,1.8323215033165374,0.6414342629482072,0.12828685258964143
7,1480,1100,1.8524300920500536,0.6430278884462152,0.12860557768924302
8,1500,1080,1.8218939874832965,0.6411155378486055,0.1282231075697211
