id,k,alpha,time,acc,score
1,100,900,0.5975364629500001,0.55,0.11000000000000001
2,90,890,0.5999010641666668,0.55,0.11000000000000001
3,90,910,0.61558703525,0.56,0.11200000000000002
4,110,890,0.0120859809,0.55,0.11000000000000001
5,110,910,0.012334795216666567,0.56,0.11200000000000002
6,100,920,0.6253297690999998,0.57,0.11399999999999999
7,120,900,0.012108854699999939,0.53,0.10600000000000001
8,120,920,0.012252201033333184,0.53,0.10600000000000001
9,90,930,0.6306888733333338,0.58,0.11599999999999999
10,110,930,0.012659320166666533,0.56,0.11200000000000002
11,80,920,0.012182884266666368,0.58,0.11599999999999999
12,80,940,0.6397100224666663,0.57,0.11399999999999999
13,100,940,0.012540198216666455,0.56,0.11200000000000002
