id,k,alpha,time,acc,score
1,200,600,0.40963838775000005,0.58,0.11599999999999999
2,190,590,0.4068240711833333,0.59,0.118
3,190,610,0.43784836665000004,0.58,0.11599999999999999
4,210,590,0.008216923283333462,0.59,0.118
5,210,610,0.008495868166666773,0.59,0.118
6,200,620,0.4252801094000001,0.59,0.118
7,220,600,0.008220364599999879,0.57,0.11399999999999999
8,220,620,0.008551584583333494,0.6,0.12
9,210,630,0.4295444427333332,0.59,0.118
10,230,610,0.008496266716666413,0.59,0.118
11,230,630,0.008757105466666814,0.59,0.118
