id,k,alpha,time,acc,score
1,900,20,0.5495513246666667,0.53,0.10600000000000001
2,880,18,0.46130722818333336,0.5,0.1
3,880,22,0.6147789512833332,0.54,0.10800000000000001
4,920,18,0.0003840114833335425,0.51,0.10200000000000001
5,920,22,0.000412532516666649,0.52,0.10400000000000001
6,860,20,0.00039863174999984113,0.49,0.098
7,860,24,0.6783451107499999,0.56,0.11200000000000002
8,900,24,0.000420387349999866,0.55,0.11000000000000001
9,840,22,0.0003974086500003674,0.52,0.10400000000000001
10,840,26,0.7450001453166668,0.54,0.10800000000000001
11,880,26,0.00043289508333354355,0.55,0.11000000000000001
