id,k,alpha,time,acc,score
1,2100,525,0.7948533508834468,0.6599203187250996,0.13198406374501992
2,2095,520,0.7898433290999188,0.6608764940239044,0.13217529880478088
3,2095,530,0.797841629566877,0.6602390438247012,0.13204780876494024
4,2105,520,0.7734877320666177,0.6602390438247012,0.13204780876494024
5,2105,530,0.7981843879664666,0.6608764940239044,0.13217529880478088
6,2100,535,0.8150932006164415,0.6623107569721115,0.1324621513944223
7,2110,525,0.8182075604170678,0.66199203187251,0.132398406374502
8,2110,535,0.816596964999917,0.6618326693227091,0.13236653386454184
9,2095,540,0.8018919200835323,0.660398406374502,0.13207968127490038
10,2105,540,0.7966123533667997,0.6623107569721115,0.1324621513944223
