id,k,alpha,time,acc,score
1,2100,600,0.9496236623167836,0.6616733067729084,0.13233466135458166
2,2095,595,0.889145826700163,0.6607171314741036,0.13214342629482073
3,2095,605,0.9049236012001832,0.6621513944223107,0.13243027888446215
4,2105,595,0.9252146051832824,0.662788844621514,0.1325577689243028
5,2105,605,0.926190872900285,0.6650199203187251,0.13300398406374503
6,2100,610,0.9261113244666679,0.6621513944223107,0.13243027888446215
7,2110,600,0.9532198434331803,0.6631075697211155,0.1326215139442231
8,2110,610,0.9262317111667168,0.6650199203187251,0.13300398406374503
