id,k,alpha,time,acc,score
1,1960,725,1.1541910052166107,0.6605577689243027,0.13211155378486056
2,1955,720,1.1371174266833501,0.6616733067729084,0.13233466135458166
3,1955,730,1.1547911321167097,0.6605577689243027,0.13211155378486056
4,1965,720,1.141745236399826,0.661195219123506,0.1322390438247012
5,1965,730,1.1539484650500527,0.6602390438247012,0.13204780876494024
6,1950,715,1.1352785095000095,0.6640637450199203,0.13281274900398404
7,1950,725,1.1436074446333806,0.661195219123506,0.1322390438247012
8,1960,715,1.1364050456165085,0.66199203187251,0.132398406374502
9,1945,710,1.1271521689501243,0.6629482071713148,0.13258964143426294
10,1945,720,1.1374017258664633,0.6621513944223107,0.13243027888446215
11,1955,710,1.1205256058999415,0.6607171314741036,0.13214342629482073
