id,k,alpha,time,acc,score
1,1940,775,1.2512483097666214,0.6578486055776892,0.13156972111553783
2,1935,770,1.2343959218664773,0.6584860557768925,0.1316972111553785
3,1935,780,1.2581641964665322,0.6591235059760956,0.1318247011952191
4,1945,770,1.2393999481668287,0.6568924302788844,0.1313784860557769
5,1945,780,1.248760979616539,0.6588047808764941,0.13176095617529882
6,1930,775,1.2497910541666595,0.6592828685258965,0.13185657370517928
7,1930,785,1.2498335724667413,0.6594422310756972,0.13188844621513945
8,1940,785,1.2466780884167141,0.6615139442231076,0.13230278884462152
9,1935,790,1.2538829755998449,0.6589641434262948,0.13179282868525896
10,1945,790,1.2538358177499807,0.6599203187250996,0.13198406374501992
