id,k,alpha,time,acc,score
1,1920,600,0.9144453220001499,0.6576892430278884,0.13153784860557768
2,1915,595,0.9084612966498147,0.6591235059760956,0.1318247011952191
3,1915,605,0.9125192598497961,0.6591235059760956,0.1318247011952191
4,1925,595,0.9035830546168048,0.6567330677290837,0.13134661354581673
5,1925,605,0.9247401059500893,0.6591235059760956,0.1318247011952191
6,1920,610,0.9224140472501555,0.6583266932270916,0.13166533864541832
7,1930,600,0.9059863403834849,0.6562549800796813,0.13125099601593626
8,1930,610,0.9238414329833177,0.6583266932270916,0.13166533864541832
