id,k,alpha,time,acc,score
1,1960,550,0.8153302359499018,0.659601593625498,0.1319203187250996
2,1955,545,0.8191938010999972,0.6588047808764941,0.13176095617529882
3,1955,555,0.8436254262334841,0.6589641434262948,0.13179282868525896
4,1965,545,0.8122445562500312,0.6583266932270916,0.13166533864541832
5,1965,555,0.8405974431831661,0.6602390438247012,0.13204780876494024
6,1960,560,0.8459653042167096,0.6592828685258965,0.13185657370517928
7,1970,550,0.8151625048165443,0.6586454183266932,0.13172908366533864
8,1970,560,0.8431844403334253,0.6580079681274901,0.131601593625498
