id,k,alpha,time,acc,score
1,1940,850,1.408937057450142,0.6589641434262948,0.13179282868525896
2,1935,845,1.350748511250034,0.659601593625498,0.1319203187250996
3,1935,855,1.3910374091666502,0.6610358565737052,0.13220717131474105
4,1945,845,1.3542516171333168,0.6586454183266932,0.13172908366533864
5,1945,855,1.3769710278165197,0.6583266932270916,0.13166533864541832
6,1930,850,1.4006412451165184,0.6613545816733067,0.13227091633466134
7,1930,860,1.3886784004166353,0.6615139442231076,0.13230278884462152
8,1940,860,1.3822649583834088,0.6591235059760956,0.1318247011952191
9,1925,855,1.3897196442165296,0.661195219123506,0.1322390438247012
10,1925,865,1.4058879135334186,0.6605577689243027,0.13211155378486056
11,1935,865,1.3976593714166181,0.6584860557768925,0.1316972111553785
