criterio,exponente,precision,tiempo (ticks)
vector residual,0.0,1.64785579682124,0.33611199999999997
vector residual,0.0,3.0574790246022316,0.8643109999999989
vector residual,0.0,2.4354298435638126,0.864313000000001
vector residual,0.0,2.5219094458721845,0.8818339999999996
vector residual,0.0,1.3259526262143146,0.8635809999999999
vector residual,0.0,5.427936315445906,0.838235000000001
vector residual,0.0,5.695054236954599,0.880198
vector residual,0.0,6.862960496033615,0.8806089999999998
vector residual,0.0,1.469555816435868,0.8742750000000008
vector residual,0.0,2.085481714963878,0.882263
vector residual,0.6,8.743770319865558,0.877281
vector residual,0.6,7.95126160709564,0.894438000000001
vector residual,0.6,12.365941593294947,0.8846060000000016
vector residual,0.6,8.0653041513403,0.8805610000000001
vector residual,0.6,23.50714084321473,0.8756009999999996
vector residual,0.6,5.198240884447741,0.8765469999999986
vector residual,0.6,8.584112643850423,0.8808729999999976
vector residual,0.6,13.988926728701577,0.8961579999999998
vector residual,0.6,19.165593308930532,0.9315080000000009
vector residual,0.6,8.788471411479923,0.9078039999999987
vector residual,1.2,29.561675900343133,0.8703249999999976
vector residual,1.2,28.32076164187361,0.9143509999999999
vector residual,1.2,42.79899914872099,0.9091780000000007
vector residual,1.2,85.46172347582893,0.9148540000000018
vector residual,1.2,36.24367002096735,0.8972839999999991
vector residual,1.2,55.710884956601404,0.911643999999999
vector residual,1.2,27.274421085425868,0.899289999999997
vector residual,1.2,17.176607418216904,0.8956189999999999
vector residual,1.2,82.40221422121587,0.9145099999999999
vector residual,1.2,91.0348253666359,0.9147569999999945
vector residual,1.8,122.08034261118833,0.9153680000000008
vector residual,1.8,221.68776835631004,0.888497000000001
vector residual,1.8,291.1968653558989,0.9108060000000009
vector residual,1.8,92.004014652295,0.896374999999999
vector residual,1.8,238.54505155752972,0.9266239999999968
vector residual,1.8,293.43702329094276,0.8970379999999949
vector residual,1.8,286.41158927126975,0.8869310000000041
vector residual,1.8,81.8755883703064,0.8968029999999985
vector residual,1.8,127.65660461478795,0.9147280000000038
vector residual,1.8,310.6601919460816,0.9315700000000007
vector residual,2.4,271.4846375387674,0.9342879999999951
vector residual,2.4,637.0841140848515,0.947811999999999
vector residual,2.4,376.47721400521993,0.9263540000000035
vector residual,2.4,1017.2058349054242,0.946228000000005
vector residual,2.4,729.6947874842283,0.927188000000001
vector residual,2.4,602.2253404493622,0.9258009999999999
vector residual,2.4,541.7188025593389,0.9088929999999991
vector residual,2.4,1232.7844513413304,0.923214999999999
vector residual,2.4,644.7700467593581,0.910072999999997
vector residual,2.4,1126.340683098159,0.9099969999999971
vector residual,3.0,4506.980688798535,0.9555709999999991
vector residual,3.0,2988.658615329747,0.9318549999999988
vector residual,3.0,4513.804822289122,0.9445970000000017
vector residual,3.0,2632.4456121825656,0.8896599999999992
vector residual,3.0,2253.1757990711812,0.9471500000000006
vector residual,3.0,1534.8416849175223,0.9482330000000019
vector residual,3.0,2813.2732971999967,0.9314200000000028
vector residual,3.0,2303.390624697875,0.9642830000000018
vector residual,3.0,2417.968788999117,0.9313549999999964
