,acc,alpha,k,n_train,time_fit,time_predict
0,0.5515537848605577,10,5,5602,4.4732999981533794e-05,2.885082536000027
1,0.611792828685259,50,5,5602,4.236300003412907e-05,7.997495736000019
2,0.6090836653386454,100,5,5602,4.147999993620033e-05,12.176605858000016
3,0.5907569721115538,10,100,5602,4.3910999920626637e-05,2.8274531769999385
4,0.6530677290836654,50,100,5602,4.35650000554233e-05,6.655037130999972
5,0.6584860557768925,100,100,5602,4.1905999978553155e-05,12.800263825999991
6,0.5870916334661355,10,300,5602,4.595500001869368e-05,2.8431979169999977
7,0.6543426294820717,50,300,5602,4.314000000249507e-05,7.723996716999977
8,0.6559362549800797,100,300,5602,5.188799991628912e-05,13.084599131999994
9,0.5542629482071714,10,5,4980,4.258299998127768e-05,2.5572284309999986
10,0.6049402390438247,50,5,4980,4.256900001564645e-05,6.570677119999914
11,0.6041434262948208,100,5,4980,4.3912000023738074e-05,11.253019095000013
12,0.5858167330677291,10,100,4980,4.594699998961005e-05,2.5921586450000405
13,0.6444621513944223,50,100,4980,4.3340000047464855e-05,6.147520336999946
14,0.6575298804780877,100,100,4980,4.459999991013319e-05,9.97383370600005
15,0.5808764940239044,10,300,4980,4.3122000079165446e-05,2.70925639699999
16,0.6549800796812749,50,300,4980,5.641899997499422e-05,6.2180318219999435
17,0.6455776892430279,100,300,4980,4.4206999973539496e-05,10.639466292000066
18,0.5482071713147411,10,5,4357,4.284899989670521e-05,2.597045664999996
19,0.6049402390438247,50,5,4357,4.3673999925886164e-05,5.050589729999956
20,0.5985657370517928,100,5,4357,4.3888000050174014e-05,10.558616223999934
21,0.5842231075697211,10,100,4357,4.384899989418045e-05,2.4335427590001473
22,0.6406374501992032,50,100,4357,4.396299982545315e-05,5.616725745999929
23,0.6449402390438247,100,100,4357,4.2507999978624866e-05,8.732556621999947
24,0.5840637450199203,10,300,4357,5.749399997512228e-05,2.2950592150000375
25,0.6482868525896415,50,300,4357,4.405000004226167e-05,5.305696792999925
26,0.6484462151394422,100,300,4357,4.216199999973469e-05,8.950677266000184
27,0.5547410358565737,10,5,3735,4.33090001479286e-05,1.8754674359997807
28,0.5987250996015936,50,5,3735,4.2897999946944765e-05,4.913880896999899
29,0.6154581673306773,100,5,3735,4.146600008425594e-05,10.714916400999982
30,0.5818326693227092,10,100,3735,4.382000020086707e-05,2.1396536500001275
31,0.6420717131474104,50,100,3735,4.430600006344321e-05,5.4347371050000675
32,0.6525896414342629,100,100,3735,4.2600999904607306e-05,9.118292880999888
33,0.5847011952191236,10,300,3735,4.255099997862999e-05,2.2001190649998534
34,0.6465338645418327,50,300,3735,4.325500003687921e-05,6.3417549129999315
35,0.6602390438247012,100,300,3735,4.501899979914015e-05,8.652646258000004
36,0.5486852589641434,10,5,3112,4.235100004734704e-05,1.8390165619998697
37,0.6041434262948208,50,5,3112,4.186499995739723e-05,3.944174781999891
38,0.5934661354581673,100,5,3112,4.498300017985457e-05,8.404203914999925
39,0.5850199203187251,10,100,3112,4.085099999429076e-05,1.8670793370001775
40,0.638406374501992,50,100,3112,4.540700001598452e-05,4.2821308000000045
41,0.6382470119521912,100,100,3112,4.421999983605929e-05,7.368632055000035
42,0.5756175298804781,10,300,3112,4.55919998785248e-05,1.797517161000087
43,0.6250199203187251,50,300,3112,4.42010000369919e-05,3.844564711999965
44,0.6594422310756972,100,300,3112,4.364300002634991e-05,8.465666405000093
45,0.5440637450199203,10,5,2490,4.3466000079206424e-05,1.5395799410000564
46,0.5984063745019921,50,5,2490,4.168599980403087e-05,4.3702452729999095
47,0.6017529880478087,100,5,2490,4.21450001795165e-05,6.935333496999874
48,0.5738645418326693,10,100,2490,4.415099988364091e-05,1.515161433000003
49,0.6234262948207171,50,100,2490,4.5086000000083004e-05,4.231758743
50,0.6450996015936254,100,100,2490,4.33120001162024e-05,7.905898551000064
51,0.5721115537848606,10,300,2490,4.150299992033979e-05,1.7150785740000174
52,0.6380876494023905,50,300,2490,4.360000002634479e-05,4.439557427999944
53,0.6446215139442231,100,300,2490,4.674499996326631e-05,6.028955604999965
54,0.5391235059760956,10,5,1867,4.202700006317173e-05,1.1422362230000545
55,0.5870916334661355,50,5,1867,4.397099996822362e-05,2.284556066999812
56,0.5910756972111554,100,5,1867,4.2530999962764326e-05,5.737403489000144
57,0.5740239043824701,10,100,1867,4.246999992574274e-05,1.271588913000187
58,0.637609561752988,50,100,1867,4.3319000042174594e-05,3.4079379190000054
59,0.6417529880478088,100,100,1867,4.384799990475585e-05,4.398802805999821
60,0.5745019920318725,10,300,1867,4.240800012667023e-05,1.081621751000057
61,0.6313944223107569,50,300,1867,4.546000013760931e-05,2.577407222999909
62,0.6183266932270917,100,300,1867,4.560699994726747e-05,4.999073117999842
63,0.5437450199203188,10,5,1245,4.555600003186555e-05,0.817795020000176
64,0.5944223107569722,50,5,1245,4.4117000015830854e-05,5.171334252000179
65,0.5832669322709163,100,5,1245,4.113599993615935e-05,2.612935966000123
66,0.5697211155378487,10,100,1245,4.53630000265548e-05,0.9374270450000495
67,0.6181673306772908,50,100,1245,4.8552999942330644e-05,1.626441383999918
68,0.6100398406374502,100,100,1245,4.266599989932729e-05,3.2773878939999577
69,0.5643027888446215,10,300,1245,4.302799993638473e-05,1.023449980000123
70,0.6130677290836654,50,300,1245,4.83520000216231e-05,3.641269138000098
71,0.6283665338645419,100,300,1245,4.618599996319972e-05,5.52210100100001
