max_df,min_df,acc,time
0.6,0.01,0.687011952191235,383.2635327299977
0.6,0.05,0.5064541832669323,33.98866498700227
0.6,0.1,0.6656573705179283,7.557790618997387
0.6,0.15,0.5064541832669323,6.449323820001155
0.6,0.2,0.5064541832669323,4.609250102002989
0.6,0.25,0.5064541832669323,3.9305734320005286
0.6,0.3,0.6020717131474104,5.947677896001551
0.6,0.35,0.5818326693227092,5.907042999002442
0.6,0.4,0.5760956175298805,5.733073291001347
0.75,0.01,0.6749003984063745,229.0272041629978
0.75,0.05,0.6678884462151394,11.91662897399874
0.75,0.1,0.5064541832669323,12.672189406999678
0.75,0.15,0.6371314741035856,6.825354464999691
0.75,0.2,0.5064541832669323,5.103729760998249
0.75,0.25,0.5064541832669323,4.24134100000083
0.75,0.3,0.602390438247012,6.070558938001341
0.75,0.35,0.5064541832669323,3.201896131999092
0.75,0.4,0.5840637450199203,5.841204961998301
0.8,0.01,0.6749003984063745,247.74478834000183
0.8,0.05,0.5064541832669323,36.41086466699926
0.8,0.1,0.6529083665338645,7.9390573970013065
0.8,0.15,0.6366533864541832,6.82805227299832
0.8,0.2,0.5064541832669323,5.107881231000647
0.8,0.25,0.5064541832669323,4.23395957199682
0.8,0.3,0.5950597609561753,6.045364052999503
0.8,0.35,0.5064541832669323,3.1992592310016335
0.8,0.4,0.5910756972111554,5.923478784003237
0.8,0.01,0.6749003984063745,233.61676454900226
0.8,0.05,0.5064541832669323,36.38160567399973
0.8,0.1,0.5064541832669323,12.712740281000151
0.8,0.15,0.6323505976095618,6.802469566999207
0.8,0.2,0.5064541832669323,5.103096587001346
0.8,0.25,0.5064541832669323,4.23277777399926
0.8,0.3,0.6087649402390438,6.013529171999835
0.8,0.35,0.5064541832669323,3.2011631639979896
0.8,0.4,0.5745019920318725,5.8666074390021095
0.85,0.01,0.6736254980079681,246.36034182200092
0.85,0.05,0.5064541832669323,35.2771958609992
0.85,0.1,0.6476494023904382,7.9514362560003065
0.85,0.15,0.6331474103585657,6.828653563003172
0.85,0.2,0.5064541832669323,5.0780949690015404
0.85,0.25,0.5064541832669323,4.226611821002734
0.85,0.3,0.5987250996015936,6.105726679001236
0.85,0.35,0.5823107569721115,5.973320785000396
0.85,0.4,0.5824701195219123,5.8919568240016815
0.9,0.01,0.6492430278884462,241.47917214799963
0.9,0.05,0.5064541832669323,37.424207572999876
0.9,0.1,0.5064541832669323,13.08897929899831
0.9,0.15,0.5064541832669323,7.411877192000247
0.9,0.2,0.5064541832669323,5.309158015999856
0.9,0.25,0.5064541832669323,4.434725274000812
0.9,0.3,0.6003187250996016,6.177633642000728
0.9,0.35,0.589800796812749,6.069621252998331
0.9,0.4,0.5756175298804781,6.006545888998517
0.95,0.01,0.6498804780876494,237.9755398640009
0.95,0.05,0.6454183266932271,11.722947188001854
0.95,0.1,0.5064541832669323,12.954374251003173
0.95,0.15,0.5064541832669323,7.48772775299949
0.95,0.2,0.5064541832669323,5.39003443600086
0.95,0.25,0.5064541832669323,4.524111824001011
0.95,0.3,0.5984063745019921,6.092177825001272
0.95,0.35,0.6,6.029437201999826
0.95,0.4,0.590597609561753,5.912878679999267
