n,k,alpha,acc
1867,100,50,0.6299601593625498
2178,10,100,0.6130677290836654
2178,50,100,0.6419123505976095
2178,150,100,0.6498804780876494
2178,100,10,0.5775298804780876
2178,100,20,0.6028685258964144
2178,100,50,0.6358565737051792
2490,10,100,0.6094023904382471
2490,50,100,0.6371314741035856
2490,150,100,0.6360159362549801
2490,100,10,0.5824701195219123
2490,100,20,0.6011155378486056
2490,100,50,0.6245418326693227
2801,10,100,0.6057370517928287
2801,50,100,0.6355378486055777
2801,150,100,0.6379282868525896
2801,100,10,0.5748207171314741
2801,100,20,0.6124302788844621
2801,100,50,0.6320318725099602
3112,10,100,0.6159362549800796
3112,50,100,0.6368127490039841
3112,150,100,0.639203187250996
3112,100,10,0.5759362549800797
3112,100,20,0.6084462151394422
3112,100,50,0.6366533864541832
3423,10,100,0.6097211155378486
3423,50,100,0.6379282868525896
3423,150,100,0.6473306772908366
3423,100,10,0.5805577689243028
3423,100,20,0.6049402390438247
3423,100,50,0.6406374501992032
3735,10,100,0.6145019920318725
3735,50,100,0.6513147410358566
3735,150,100,0.6436653386454183
3735,100,10,0.579601593625498
3735,100,20,0.6035059760956175
3735,100,50,0.6443027888446216
4046,10,100,0.6162549800796813
4046,50,100,0.650199203187251
4046,150,100,0.6498804780876494
4046,100,10,0.5866135458167331
4046,100,20,0.6086055776892431
4046,100,50,0.6478087649402391
4357,10,100,0.6122709163346614
4357,50,100,0.6506772908366534
4357,150,100,0.6521115537848605
4357,100,10,0.5866135458167331
4357,100,20,0.6145019920318725
4357,100,50,0.6476494023904382
4668,10,100,0.6176892430278884
4668,50,100,0.6415936254980079
4668,150,100,0.6471713147410358
4668,100,10,0.5843824701195219
4668,100,20,0.6105179282868526
4668,100,50,0.6423904382470119
4980,10,100,0.6254980079681275
4980,50,100,0.6525896414342629
4980,150,100,0.6525896414342629
4980,100,10,0.5901195219123506
4980,100,20,0.6135458167330677
4980,100,50,0.6532270916334662
5291,10,100,0.6231075697211156
5291,50,100,0.6497211155378486
5291,150,100,0.6541832669322709
5291,100,10,0.5896414342629482
5291,100,20,0.6103585657370518
5291,100,50,0.6474900398406375
5602,10,100,0.6280478087649403
5602,50,100,0.6495617529880479
5602,150,100,0.6552988047808765
5602,100,10,0.5934661354581673
5602,100,20,0.6141832669322709
5602,100,50,0.6540239043824702
5913,10,100,0.628207171314741
5913,50,100,0.6586454183266932
5913,150,100,0.6549800796812749
5913,100,10,0.5877290836653386
5913,100,20,0.6135458167330677
5913,100,50,0.6580079681274901
311,10,100,0.5665338645418326
311,50,100,0.5752988047808765
311,150,100,0.5525099601593626
311,100,10,0.5611155378486056
311,100,20,0.5577689243027888
311,100,50,0.5719521912350598
622,10,100,0.5819920318725099
622,50,100,0.5947410358565737
622,150,100,0.6014342629482071
622,100,10,0.5549003984063745
622,100,20,0.5588844621513944
622,100,50,0.5888446215139442
933,10,100,0.5909163346613546
933,50,100,0.6146613545816733
933,150,100,0.6079681274900398
933,100,10,0.56
933,100,20,0.5874103585657371
933,100,50,0.6095617529880478
1245,10,100,0.5064541832669323
1245,50,100,0.5064541832669323
1245,150,100,0.49354581673306774
1245,100,10,0.49354581673306774
1245,100,20,0.49354581673306774
1245,100,50,0.49354581673306774
1556,10,100,0.607808764940239
1556,50,100,0.6342629482071713
1556,150,100,0.6428685258964143
1556,100,10,0.5738645418326693
1556,100,20,0.5976095617529881
1556,100,50,0.6315537848605578
1867,10,100,0.5996812749003984
1867,50,100,0.6215139442231076
1867,150,100,0.6277290836653386
1867,100,10,0.5789641434262949
1867,100,20,0.6038247011952191
1867,100,50,0.6186454183266932
2178,10,100,0.616414342629482
2178,50,100,0.6460557768924303
2178,150,100,0.6532270916334662
2178,100,10,0.5802390438247012
2178,100,20,0.6081274900398407
2178,100,50,0.6419123505976095
2490,10,100,0.6127490039840637
2490,50,100,0.6366533864541832
2490,150,100,0.6406374501992032
2490,100,10,0.5807171314741035
2490,100,20,0.6055776892430279
2490,100,50,0.6349003984063745
2801,10,100,0.6181673306772908
2801,50,100,0.6468525896414342
2801,150,100,0.6468525896414342
2801,100,10,0.5850199203187251
2801,100,20,0.6019123505976096
2801,100,50,0.6382470119521912
3112,10,100,0.6157768924302789
3112,50,100,0.6419123505976095
3112,150,100,0.6390438247011953
3112,100,10,0.5735458167330677
3112,100,20,0.6058964143426295
3112,100,50,0.6371314741035856
3423,10,100,0.6258167330677291
3423,50,100,0.6435059760956175
3423,150,100,0.6586454183266932
3423,100,10,0.578804780876494
3423,100,20,0.607011952191235
3423,100,50,0.6409561752988048
3735,10,100,0.6215139442231076
3735,50,100,0.6452589641434263
3735,150,100,0.649402390438247
3735,100,10,0.5839043824701196
3735,100,20,0.6081274900398407
3735,100,50,0.639203187250996
4046,10,100,0.623585657370518
4046,50,100,0.650199203187251
4046,150,100,0.6535458167330678
4046,100,10,0.5869322709163347
4046,100,20,0.6122709163346614
4046,100,50,0.6439840637450199
4357,10,100,0.6189641434262948
4357,50,100,0.6438247011952192
4357,150,100,0.6436653386454183
4357,100,10,0.5823107569721115
4357,100,20,0.6074900398406374
4357,100,50,0.6425498007968128
4668,10,100,0.6231075697211156
4668,50,100,0.6474900398406375
4668,150,100,0.6482868525896415
4668,100,10,0.5746613545816733
4668,100,20,0.6060557768924303
4668,100,50,0.6419123505976095
4980,10,100,0.6242231075697211
4980,50,100,0.6462151394422311
4980,150,100,0.6514741035856574
4980,100,10,0.5829482071713148
4980,100,20,0.6098804780876494
4980,100,50,0.6428685258964143
5291,10,100,0.6261354581673306
5291,50,100,0.6557768924302789
5291,150,100,0.6524302788844621
5291,100,10,0.595219123505976
5291,100,20,0.6210358565737052
5291,100,50,0.6490836653386454
5602,10,100,0.6270916334661355
5602,50,100,0.6546613545816733
5602,150,100,0.6473306772908366
5602,100,10,0.5861354581673307
5602,100,20,0.6119521912350597
5602,100,50,0.6439840637450199
5913,10,100,0.6275697211155379
5913,50,100,0.6549800796812749
5913,150,100,0.6529083665338645
5913,100,10,0.589003984063745
5913,100,20,0.6143426294820717
5913,100,50,0.6557768924302789
311,10,100,0.5410358565737052
311,50,100,0.5437450199203188
311,150,100,0.5571314741035857
311,100,10,0.5431075697211155
311,100,20,0.5491633466135458
311,100,50,0.5544223107569721
622,10,100,0.5808764940239044
622,50,100,0.6020717131474104
622,150,100,0.6090836653386454
622,100,10,0.5641434262948207
622,100,20,0.5740239043824701
622,100,50,0.6011155378486056
933,10,100,0.5858167330677291
933,50,100,0.5974501992031872
933,150,100,0.6095617529880478
933,100,10,0.5746613545816733
933,100,20,0.5915537848605578
933,100,50,0.6046215139442231
1245,10,100,0.5976095617529881
1245,50,100,0.6203984063745019
1245,150,100,0.6514741035856574
1245,100,10,0.5682868525896414
1245,100,20,0.5861354581673307
1245,100,50,0.6334661354581673
1556,10,100,0.6011155378486056
1556,50,100,0.6254980079681275
1556,150,100,0.629800796812749
1556,100,10,0.5732270916334662
1556,100,20,0.588207171314741
1556,100,50,0.6213545816733068
1867,10,100,0.6065338645418327
1867,50,100,0.6315537848605578
1867,150,100,0.6350597609561753
1867,100,10,0.573386454183267
1867,100,20,0.6052589641434263
1867,100,50,0.6398406374501993
2178,10,100,0.6044621513944223
2178,50,100,0.61800796812749
2178,150,100,0.6200796812749004
2178,100,10,0.5735458167330677
2178,100,20,0.6103585657370518
2178,100,50,0.6280478087649403
2490,10,100,0.616414342629482
2490,50,100,0.640796812749004
2490,150,100,0.6549800796812749
2490,100,10,0.5713147410358566
2490,100,20,0.5964940239043824
2490,100,50,0.6374501992031872
2801,10,100,0.6170517928286853
2801,50,100,0.6443027888446216
2801,150,100,0.6446215139442231
2801,100,10,0.5872509960159362
2801,100,20,0.6022310756972111
2801,100,50,0.6388844621513944
3112,10,100,0.6068525896414343
3112,50,100,0.6465338645418327
3112,150,100,0.6419123505976095
3112,100,10,0.5797609561752988
3112,100,20,0.6076494023904383
3112,100,50,0.6395219123505976
3423,10,100,0.6116334661354582
3423,50,100,0.638406374501992
3423,150,100,0.6415936254980079
3423,100,10,0.5752988047808765
3423,100,20,0.6097211155378486
3423,100,50,0.6420717131474104
3735,10,100,0.6140239043824701
3735,50,100,0.6411155378486055
3735,150,100,0.6387250996015936
3735,100,10,0.5775298804780876
3735,100,20,0.6057370517928287
3735,100,50,0.639203187250996
4046,10,100,0.6194422310756972
4046,50,100,0.6489243027888446
4046,150,100,0.654820717131474
4046,100,10,0.5783266932270916
4046,100,20,0.6063745019920319
4046,100,50,0.6427091633466135
4357,10,100,0.6266135458167331
4357,50,100,0.6430278884462152
4357,150,100,0.6482868525896415
4357,100,10,0.5813545816733068
4357,100,20,0.6030278884462151
4357,100,50,0.6411155378486055
4668,10,100,0.6245418326693227
4668,50,100,0.6519521912350598
4668,150,100,0.654820717131474
4668,100,10,0.5807171314741035
4668,100,20,0.6081274900398407
4668,100,50,0.6460557768924303
4980,10,100,0.6234262948207171
4980,50,100,0.6516334661354581
4980,150,100,0.6540239043824702
4980,100,10,0.581195219123506
4980,100,20,0.6141832669322709
4980,100,50,0.6498804780876494
5291,10,100,0.6175298804780877
5291,50,100,0.6540239043824702
5291,150,100,0.6591235059760956
5291,100,10,0.5861354581673307
5291,100,20,0.6140239043824701
5291,100,50,0.6535458167330678
5602,10,100,0.6240637450199203
5602,50,100,0.6473306772908366
5602,150,100,0.6498804780876494
5602,100,10,0.5840637450199203
5602,100,20,0.6066932270916334
5602,100,50,0.6462151394422311
5913,10,100,0.6248605577689244
5913,50,100,0.6597609561752988
5913,150,100,0.6575298804780877
5913,100,10,0.5886852589641435
5913,100,20,0.611792828685259
5913,100,50,0.6498804780876494
311,10,100,0.552988047808765
311,50,100,0.5617529880478087
311,150,100,0.5638247011952191
311,100,10,0.5456573705179283
311,100,20,0.561593625498008
311,100,50,0.5826294820717132
622,10,100,0.5821513944223108
622,50,100,0.590597609561753
622,150,100,0.5942629482071713
622,100,10,0.549800796812749
622,100,20,0.5745019920318725
622,100,50,0.590597609561753
933,10,100,0.5858167330677291
933,50,100,0.6036653386454184
933,150,100,0.5960159362549801
933,100,10,0.5636653386454183
933,100,20,0.5732270916334662
933,100,50,0.5971314741035857
1245,10,100,0.5960159362549801
1245,50,100,0.6468525896414342
1245,150,100,0.6545019920318725
1245,100,10,0.5813545816733068
1245,100,20,0.6027091633466135
1245,100,50,0.6377689243027889
1556,10,100,0.6035059760956175
1556,50,100,0.6121115537848606
1556,150,100,0.6176892430278884
1556,100,10,0.5832669322709163
1556,100,20,0.6057370517928287
1556,100,50,0.6203984063745019
1867,10,100,0.6111553784860557
1867,50,100,0.6398406374501993
1867,150,100,0.6529083665338645
1867,100,10,0.5746613545816733
1867,100,20,0.6038247011952191
1867,100,50,0.6449402390438247
2178,10,100,0.61800796812749
2178,50,100,0.6380876494023905
2178,150,100,0.637609561752988
2178,100,10,0.5858167330677291
2178,100,20,0.5987250996015936
2178,100,50,0.6294820717131474
2490,10,100,0.6148207171314741
2490,50,100,0.6498804780876494
2490,150,100,0.6588047808764941
2490,100,10,0.5818326693227092
2490,100,20,0.6100398406374502
2490,100,50,0.6500398406374502
2801,10,100,0.6140239043824701
2801,50,100,0.6380876494023905
2801,150,100,0.6473306772908366
2801,100,10,0.5708366533864542
2801,100,20,0.6028685258964144
2801,100,50,0.6422310756972112
3112,10,100,0.6208764940239044
3112,50,100,0.6444621513944223
3112,150,100,0.6492430278884462
3112,100,10,0.5827888446215139
3112,100,20,0.6065338645418327
3112,100,50,0.6425498007968128
3423,10,100,0.6145019920318725
3423,50,100,0.6412749003984064
3423,150,100,0.6487649402390439
3423,100,10,0.5765737051792829
3423,100,20,0.5990438247011952
3423,100,50,0.6395219123505976
3735,10,100,0.6160956175298805
3735,50,100,0.6511553784860558
3735,150,100,0.6599203187250996
3735,100,10,0.5821513944223108
3735,100,20,0.619601593625498
3735,100,50,0.6552988047808765
4046,10,100,0.6216733067729083
4046,50,100,0.6505179282868526
4046,150,100,0.6583266932270916
4046,100,10,0.5840637450199203
4046,100,20,0.605418326693227
4046,100,50,0.6489243027888446
4357,10,100,0.6148207171314741
4357,50,100,0.6452589641434263
4357,150,100,0.6470119521912351
4357,100,10,0.5818326693227092
4357,100,20,0.6039840637450199
4357,100,50,0.6458964143426295
4668,10,100,0.630597609561753
4668,50,100,0.6465338645418327
4668,150,100,0.6546613545816733
4668,100,10,0.5851792828685259
4668,100,20,0.6060557768924303
4668,100,50,0.6474900398406375
4980,10,100,0.6199203187250996
4980,50,100,0.6430278884462152
4980,150,100,0.6537051792828685
4980,100,10,0.5877290836653386
4980,100,20,0.6121115537848606
4980,100,50,0.6457370517928287
5291,10,100,0.6216733067729083
5291,50,100,0.6460557768924303
5291,150,100,0.6511553784860558
5291,100,10,0.5875697211155378
5291,100,20,0.6089243027888446
5291,100,50,0.6476494023904382
5602,10,100,0.6302788844621514
5602,50,100,0.6489243027888446
5602,150,100,0.6560956175298804
5602,100,10,0.5904382470119522
5602,100,20,0.6160956175298805
5602,100,50,0.6557768924302789
5913,10,100,0.6237450199203187
5913,50,100,0.6551394422310757
5913,150,100,0.6578486055776892
5913,100,10,0.588207171314741
5913,100,20,0.6189641434262948
5913,100,50,0.6545019920318725
311,10,100,0.5459760956175299
311,50,100,0.5826294820717132
311,150,100,0.6039840637450199
311,100,10,0.5447011952191235
311,100,20,0.573386454183267
311,100,50,0.5977689243027888
622,10,100,0.5925099601593625
622,50,100,0.590597609561753
622,150,100,0.569402390438247
622,100,10,0.5467729083665339
622,100,20,0.5649402390438247
622,100,50,0.5853386454183267
933,10,100,0.5854980079681275
933,50,100,0.6210358565737052
933,150,100,0.6288446215139443
933,100,10,0.5555378486055776
933,100,20,0.605418326693227
933,100,50,0.6162549800796813
1245,10,100,0.6
1245,50,100,0.6151394422310758
1245,150,100,0.616414342629482
1245,100,10,0.5725896414342629
1245,100,20,0.5832669322709163
1245,100,50,0.6146613545816733
1556,10,100,0.5979282868525897
1556,50,100,0.6203984063745019
1556,150,100,0.6205577689243028
1556,100,10,0.5737051792828686
1556,100,20,0.5859760956175298
1556,100,50,0.616414342629482
1867,10,100,0.5971314741035857
1867,50,100,0.6152988047808765
1867,150,100,0.6184860557768924
1867,100,10,0.5709960159362549
1867,100,20,0.6081274900398407
1867,100,50,0.619601593625498
2178,10,100,0.6152988047808765
2178,50,100,0.6430278884462152
2178,150,100,0.6446215139442231
2178,100,10,0.581195219123506
2178,100,20,0.5976095617529881
2178,100,50,0.6478087649402391
2490,10,100,0.6030278884462151
2490,50,100,0.6417529880478088
2490,150,100,0.6525896414342629
2490,100,10,0.5837450199203187
2490,100,20,0.607011952191235
2490,100,50,0.6498804780876494
2801,10,100,0.6074900398406374
2801,50,100,0.6344223107569721
2801,150,100,0.6361752988047809
2801,100,10,0.5757768924302789
2801,100,20,0.610996015936255
2801,100,50,0.6369721115537849
3112,10,100,0.6149800796812749
3112,50,100,0.6280478087649403
3112,150,100,0.6377689243027889
3112,100,10,0.5743426294820717
3112,100,20,0.5971314741035857
3112,100,50,0.6349003984063745
3423,10,100,0.610199203187251
3423,50,100,0.6428685258964143
3423,150,100,0.6443027888446216
3423,100,10,0.5869322709163347
3423,100,20,0.6060557768924303
3423,100,50,0.6404780876494024
3735,10,100,0.6181673306772908
3735,50,100,0.6420717131474104
3735,150,100,0.6457370517928287
3735,100,10,0.5823107569721115
3735,100,20,0.5993625498007968
3735,100,50,0.638406374501992
4046,10,100,0.6137051792828685
4046,50,100,0.6438247011952192
4046,150,100,0.6470119521912351
4046,100,10,0.5829482071713148
4046,100,20,0.6073306772908367
4046,100,50,0.6438247011952192
4357,10,100,0.6229482071713147
4357,50,100,0.6447808764940239
4357,150,100,0.6417529880478088
4357,100,10,0.5789641434262949
4357,100,20,0.6071713147410358
4357,100,50,0.6417529880478088
4668,10,100,0.6149800796812749
4668,50,100,0.6540239043824702
4668,150,100,0.6554581673306773
4668,100,10,0.5840637450199203
4668,100,20,0.6095617529880478
4668,100,50,0.648605577689243
4980,10,100,0.61800796812749
4980,50,100,0.6417529880478088
4980,150,100,0.6443027888446216
4980,100,10,0.5870916334661355
4980,100,20,0.6119521912350597
4980,100,50,0.6382470119521912
5291,10,100,0.621195219123506
5291,50,100,0.6552988047808765
5291,150,100,0.6568924302788844
5291,100,10,0.5904382470119522
5291,100,20,0.6111553784860557
5291,100,50,0.6541832669322709
5602,10,100,0.6243824701195219
5602,50,100,0.6575298804780877
5602,150,100,0.6586454183266932
5602,100,10,0.591394422310757
5602,100,20,0.6152988047808765
5602,100,50,0.6530677290836654
5913,10,100,0.6286852589641434
5913,50,100,0.6586454183266932
5913,150,100,0.6530677290836654
5913,100,10,0.5869322709163347
5913,100,20,0.6137051792828685
5913,100,50,0.6533864541832669
311,10,100,0.5823107569721115
311,50,100,0.5802390438247012
311,150,100,0.5241434262948207
311,100,10,0.5338645418326693
311,100,20,0.5408764940239044
311,100,50,0.5496414342629482
622,10,100,0.5802390438247012
622,50,100,0.6031872509960159
622,150,100,0.6124302788844621
622,100,10,0.5681274900398406
622,100,20,0.574183266932271
622,100,50,0.5969721115537848
933,10,100,0.5963346613545817
933,50,100,0.6262948207171315
933,150,100,0.6473306772908366
933,100,10,0.569402390438247
933,100,20,0.6001593625498008
933,100,50,0.6356972111553785
1245,10,100,0.5969721115537848
1245,50,100,0.6247011952191235
1245,150,100,0.6404780876494024
1245,100,10,0.5748207171314741
1245,100,20,0.5990438247011952
1245,100,50,0.6254980079681275
1556,10,100,0.6035059760956175
1556,50,100,0.6267729083665339
1556,150,100,0.6360159362549801
1556,100,10,0.5692430278884462
1556,100,20,0.5945816733067729
1556,100,50,0.6325099601593626
1867,10,100,0.5966533864541833
1867,50,100,0.6251792828685259
1867,150,100,0.6364940239043825
1867,100,10,0.5727490039840637
1867,100,20,0.5923505976095618
1867,100,50,0.6272509960159363
2178,10,100,0.6119521912350597
2178,50,100,0.6350597609561753
2178,150,100,0.6401593625498008
2178,100,10,0.5754581673306773
2178,100,20,0.5998406374501992
2178,100,50,0.6369721115537849
2490,10,100,0.6103585657370518
2490,50,100,0.6266135458167331
2490,150,100,0.6315537848605578
2490,100,10,0.5768924302788845
2490,100,20,0.5980876494023905
2490,100,50,0.6275697211155379
2801,10,100,0.6149800796812749
2801,50,100,0.6457370517928287
2801,150,100,0.6535458167330678
2801,100,10,0.5847011952191236
2801,100,20,0.6087649402390438
2801,100,50,0.6414342629482072
3112,10,100,0.5064541832669323
3112,50,100,0.5064541832669323
3112,150,100,0.5064541832669323
3112,100,10,0.49354581673306774
3112,100,20,0.49354581673306774
3112,100,50,0.49354581673306774
3423,10,100,0.6159362549800796
3423,50,100,0.6473306772908366
3423,150,100,0.6530677290836654
3423,100,10,0.57800796812749
3423,100,20,0.6094023904382471
3423,100,50,0.6487649402390439
3735,10,100,0.5064541832669323
3735,50,100,0.5064541832669323
3735,150,100,0.5064541832669323
3735,100,10,0.5064541832669323
3735,100,20,0.5064541832669323
3735,100,50,0.5064541832669323
4046,10,100,0.5064541832669323
4046,50,100,0.5064541832669323
4046,150,100,0.5064541832669323
4046,100,10,0.5064541832669323
4046,100,20,0.5064541832669323
4046,100,50,0.5064541832669323
4357,10,100,0.6213545816733068
4357,50,100,0.6425498007968128
4357,150,100,0.6514741035856574
4357,100,10,0.5856573705179283
4357,100,20,0.6073306772908367
4357,100,50,0.6444621513944223
4668,10,100,0.622788844621514
4668,50,100,0.6401593625498008
4668,150,100,0.6479681274900398
4668,100,10,0.5870916334661355
4668,100,20,0.6092430278884462
