id,k,alpha,time,acc,score
1,1000,40,0.14866738901666665,0.57,0.11399999999999999
2,980,38,0.1420930853,0.57,0.11399999999999999
3,980,42,0.14299289038333332,0.58,0.11599999999999999
4,1020,38,0.0008366874166666705,0.58,0.11599999999999999
5,1020,42,0.0009015979333333609,0.58,0.11599999999999999
6,1000,44,0.14248368753333326,0.59,0.118
7,1040,40,0.0009028837833332896,0.57,0.11399999999999999
8,1040,44,0.0009198436833333546,0.58,0.11599999999999999
9,980,46,0.14605734151666674,0.59,0.118
10,1020,46,0.0009410280833333692,0.59,0.118
