id,k,alpha,time,acc,score
1,100,80,0.1826317420333333,0.54,0.10800000000000001
2,80,78,0.1820588007333333,0.56,0.11200000000000002
3,80,82,0.18236599744999993,0.53,0.10600000000000001
4,120,78,0.0010746976833332885,0.54,0.10800000000000001
5,120,82,0.00110049168333326,0.59,0.118
6,100,84,0.18704733813333335,0.57,0.11399999999999999
7,140,80,0.001104787516666761,0.61,0.122
8,140,84,0.0011375009999999481,0.58,0.11599999999999999
9,160,78,0.0010891485166666826,0.61,0.122
10,160,82,0.0011072339500000083,0.59,0.118
