id,k,alpha,time,acc,score
1,105,1600,3.3386038952000003,0.44605577689243026,0.08921115537848605
2,104,1595,3.103753299533333,0.49338645418326693,0.09867729083665339
3,104,1605,3.0640366196499995,0.49482071713147413,0.09896414342629482
4,106,1595,0.6760396654500008,0.49338645418326693,0.09867729083665339
5,106,1605,0.6806946171166658,0.4946613545816733,0.09893227091633466
6,103,1600,0.826187460666667,0.4465338645418327,0.08930677290836654
7,103,1610,3.0372332700333327,0.4945019920318725,0.0989003984063745
8,105,1610,0.6554617375833326,0.4945019920318725,0.0989003984063745
