id,k,alpha,time,acc,score
1,300,500,0.35243729786666667,0.59,0.118
2,290,490,0.34654293564999994,0.6,0.12
3,290,510,0.35503890498333324,0.58,0.11599999999999999
4,310,490,0.0070182862666667255,0.59,0.118
5,310,510,0.007311094750000062,0.58,0.11599999999999999
6,280,480,0.3368246871500001,0.61,0.122
7,280,500,0.0070248139666666985,0.59,0.118
8,300,480,0.006825687666666861,0.59,0.118
9,270,470,0.3348659260833332,0.61,0.122
10,270,490,0.007021349866666545,0.61,0.122
11,290,470,0.006737086383333235,0.59,0.118
